Código Imóvel;Logradouro;CEP;Bairro;Loteamento;Nº Imóvel;Lote;Quadra
1;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;0S/N.;1;15
2;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;2;15
5;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;5;15
6;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;6;15
7;RUA DEZOITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;8;14
8;RUA VINTE E OITO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;9;14
9;RUA VINTE E OITO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;10;14
10;RUA VINTE E OITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;11;14
11;RUA VINTE E OITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;12;14
12;RUA VINTE E OITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;13;14
13;RUA VINTE E SEIS.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;7;14
14;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;6;14
15;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;5;14
16;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;4;14
17;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;3;14
18;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;2;14
19;RUA DEZENOVE.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;1;14
20;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;1;13
21;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;2;13
22;RUA DEZESSETE.;13315-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;3;13
